LINE_RATE,N,D,S,X,U,W,OUTPUT_QUEUE_DEPTH,MULTICAST_SUPPORT,clk,part_number,Slices/CLBs,Slices/CLBs %,Slice/CLB LUTs,Slice/CLB LUTs %,LUT as Memory,LUT as Memory %,Slice/CLB Regs,Slice/CLB Regs %,BRAMs,BRAMs%,URAMs,URAMs%,DSPs,DSPs %,WNS(ns),TNS(ns),NNS,WHS(ns),THS(ns),NHS,Timing Status
25,104,512,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,56317,38.11,185258,15.67,78142,13.20,436989,18.48,162,7.52,0,0.00,0,0.00,0.079,0.000,0,0.002,0.000,0,Met
25,112,512,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,61108,41.35,204737,17.32,84140,14.22,489820,20.72,175,8.10,0,0.00,0,0.00,0.009,0.000,0,0.010,0.000,0,Met
25,120,512,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,69870,47.28,232391,19.66,100962,17.06,556843,23.55,187,8.68,0,0.00,0,0.00,0.001,0.000,0,0.003,0.000,0,Met
25,128,512,8,64,1,72,32,0,2.88,xcvu13p-flga2577-3-e,76522,35.43,253938,14.70,107680,13.61,615905,17.82,200,7.44,0,0.00,0,0.00,0.007,0.000,0,0.001,0.000,0,Met

31,128,512,8,64,1,104,32,0,3.3548,xcvu13p-flga2577-3-e,105968,49.06,337742,19.55,148128,18.73,837169,24.22,264,9.82,0,0.00,0,0.00,0.000,0.000,0,0.003,0.000,0,Met

25,64,512,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,21908,14.82,78823,6.67,31208,5.27,176452,7.46,84,3.89,0,0.00,0,0.00,0.282,0.000,0,0.003,0.000,0,Met
25,64,1024,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,21818,14.76,79013,6.68,31240,5.28,176860,7.48,152,7.04,0,0.00,0,0.00,0.248,0.000,0,0.003,0.000,0,Met
25,64,2048,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,23099,15.63,79239,6.70,31336,5.29,177263,7.50,304,14.07,0,0.00,0,0.00,0.146,0.000,0,0.003,0.000,0,Met
25,64,4096,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,22298,15.09,79208,6.70,31336,5.29,177676,7.51,80,3.70,64,6.67,0,0.00,0.089,0.000,0,0.001,0.000,0,Met
25,64,8192,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,23194,15.69,79435,6.72,31336,5.29,182654,7.72,156,7.22,128,13.33,0,0.00,0.051,0.000,0,0.003,0.000,0,Met
25,64,16384,8,64,1,72,32,0,2.88,xcvu9p-flga2577-3-e,24457,16.55,79625,6.74,31352,5.30,183076,7.74,340,15.74,256,26.67,0,0.00,0.144,0.000,0,0.003,0.000,0,Met
25,64,4096,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,19925,13.48,71671,6.06,20328,3.43,143114,6.05,336,15.56,64,6.67,0,0.00,0.103,0.000,0,0.003,0.000,0,Met
25,64,4096,8,512,1,144,32,0,3.08,xcvu9p-flga2577-3-e,31631,21.40,107044,9.05,25064,4.23,245419,10.38,592,27.41,128,13.33,0,0.00,0.000,0.000,0,0.004,0.000,0,Met

10,12,512,12,64,1,72,32,0,4,xcau10p-ffvb676-2-e,2500,25.72,10533,23.94,1978,4.91,10532,11.97,14,14.50,NA,NA,0,0.00,0.508,0.000,0,0.036,0.000,0,Met
10,12,512,12,64,1,72,32,1,4,xcau10p-ffvb676-2-e,2512,25.84,10638,24.18,1994,4.95,10691,12.15,15,15.50,NA,NA,0,0.00,0.481,0.000,0,0.030,0.000,0,Met
10,12,1024,12,64,1,72,32,0,4,xcau10p-ffvb676-2-e,2511,25.83,10549,23.98,1978,4.91,10604,12.05,27,27.00,NA,NA,0,0.00,0.636,0.000,0,0.032,0.000,0,Met
10,12,1024,12,64,1,72,32,1,4,xcau10p-ffvb676-2-e,2475,25.46,10643,24.19,1994,4.95,10764,12.23,28,28.00,NA,NA,0,0.00,0.693,0.000,0,0.035,0.000,0,Met
10,12,2048,12,64,1,72,32,0,4,xcau10p-ffvb676-2-e,2523,25.96,10575,24.03,1978,4.91,10668,12.12,54,54.00,NA,NA,0,0.00,0.583,0.000,0,0.038,0.000,0,Met
10,12,2048,12,64,1,72,32,1,4,xcau10p-ffvb676-2-e,2493,25.65,10682,24.28,1994,4.95,10835,12.31,55,55.00,NA,NA,0,0.00,0.930,0.000,0,0.023,0.000,0,Met

25,8,1024,8,64,1,72,32,0,2.88,xcku3p-ffvb676-3-e,1147,4.23,4084,2.51,994,1.00,6933,2.13,19,5.28,0,0.00,0,0.00,0.576,0.000,0,0.035,0.000,0,Met
25,16,1024,8,64,1,72,32,0,2.88,xcku3p-ffvb676-3-e,3175,11.71,10657,6.55,3450,3.46,20671,6.35,38,10.56,0,0.00,0,0.00,0.591,0.000,0,0.004,0.000,0,Met
25,24,1024,8,64,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,5668,11.51,19353,4.91,7343,3.72,37473,4.75,57,7.92,0,0.00,0,0.00,0.366,0.000,0,0.003,0.000,0,Met
25,32,1024,8,64,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,7772,15.78,27323,6.93,9780,4.96,55478,7.04,76,10.56,0,0.00,0,0.00,0.304,0.000,0,0.005,0.000,0,Met
25,40,1024,8,64,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,12148,24.66,42779,10.86,15933,8.08,86154,10.93,95,13.19,0,0.00,0,0.00,0.210,0.000,0,0.002,0.000,0,Met
25,48,1024,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,15512,15.75,53578,8.92,19110,4.84,111639,9.29,114,11.13,0,0.00,0,0.00,0.210,0.000,0,0.003,0.000,0,Met
25,56,1024,8,64,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,19147,19.43,66420,11.06,27343,6.93,145142,12.08,133,12.99,0,0.00,0,0.00,0.235,0.000,0,0.003,0.000,0,Met
